Item, Quantity, Cost, Source
PCB, 10, $34, https://robu.in/product/online-pcb-manufacturing-service/
1uF 1206 SMD, 20, $5, https://www.amazon.in/1UF-1206-Ceramic-Capacitor-20Pcs/dp/B0DYJTLFDL
0.1uF 1206 SMD, 60, $4.2, https://www.amazon.in/Steko-Capacitor-Tolerance-Electronic-Component/dp/B0D3D8HW51
220nF 1206 SMD, 10, $2.7, https://www.amazon.in/220NF-Ceramic-Capacitor-WALSIN-0-22UF/dp/B0GDDTYT3W
100nF 1206 SMD, 10, $3.25, https://www.amazon.in/e4u-Ceramic-Capacitor-SMD-1206-Package/dp/B09QGXCYWB
10uF 1206 SMD, 10, $3, https://www.amazon.in/10uF-Ceramic-Capacitor-25pcs-CL31A106KAHNNNE/dp/B0GDF194MR
2.2uF 1206 SMD, 10, $2.6, https://www.amazon.in/2-2uF-0603-Ceramic-Capacitor-pack/dp/B0FCSH5MKH
0.01uF 1206 SMD, 10, $2, https://www.amazon.in/Steko-Capacitor-Tolerance-Electronic-Component/dp/B0FRZ43N35
22uF 1206 SMD, 20, $4, https://www.amazon.in/22%C2%B5F-SMD-Capacitor-Package-Original/dp/B0F4RK46GL
SS34 Diode, 10, $2.1, https://www.amazon.in/SS34-SMA-Schottky-Diode-Package-DO-214AC/dp/B092R2K27Q
WS2812B-2020, 50, $4.2, https://robu.in/product/sme-ws2812b-2020-addressable-rgb-pixel-led-worldsemi/
RED LED 1206 SMD, 10, $2.3, https://www.amazon.in/Steko-Electronic-Component-Multipurpose-Backlight/dp/B0FZJ1QWR9
GREEN LED 1206 SMD, 10, $2.3, https://www.amazon.in/Steko-Electronic-Component-Multipurpose-Backlight/dp/B0FZJ293TX
JST Kit, 30, $6.3, https://www.amazon.in/MTRoyaldia-560PCS-Connector-Housing-Adapter/dp/B0GTPGBC7S
Crimping tool, 1, $3.2, https://www.amazon.in/BUILDSKILL-crimping-ergonomic-heavy-duty-telephone/dp/B0DVLLL2YG
USB-C Receptacle, 10, $3.8, https://robu.in/product/type-c-31-m-31-hroparts-5a-1-surface-mount-right-angle-16p-female-30%E2%84%8380%E2%84%83-type-c-smd-usb-connectors-rohs
4.7uH 1210 SMD, 10, $1.6, https://robu.in/product/lqh32pn4r7nn0l-murata-lqh32pn4r7nn0l-power-inductor-smd-4-7-%C2%B5h-1-a-shielded-1-a-lqh32pn_n0-series-1210-3225-metric/
5.1k 1206 SMD, 20, $2.3, https://www.amazon.in/5-1K-ohm-Resistor-1206-Package/dp/B09N427SVD
1.6k 1206 SMD, 10, $2.4, https://www.amazon.in/Wizzo-Tolerance-Electronic-Components-Multipurpose/dp/B0D8L24V6L
10k 1206 SMD, 70, $2.1, https://www.amazon.in/100PCS-Ohm-1206-Size-Resistors/dp/B07HQLRHY1
1k 1206 SMD, 30, $2.1, https://www.amazon.in/Resistor-1206-Package-Tolerance-Pack/dp/B0H9JFBG6L
200k 1206 SMD, 10, $2.1, https://www.amazon.in/Wenray-Pieces-Kilo-Tolerance-Resistor/dp/B0HB4ZV65M
4.7k 1206 SMD, 20, $2.1, https://www.amazon.in/Resistor-1206-Package-4-7K-Tolerance/dp/B0H9JCZXBB
8.2k 1206 SMD, 10, $2.7, https://www.amazon.in/e4u-0-25W-SMD-1206-Package-Resistor/dp/B0813T2HSR
11.8k 1206 SMD, 10, $0.42, https://robu.in/product/mfr-25fbf52-11k8-yageo-res-11k8-0-25w-axial-metal-film/
30m SMD, 10, $1.3, https://robu.in/product/0-03-ohm-3w-surface-mount-sense-resistor/
SW SPST, 10, $3.9, https://robu.in/product/2-54-1p-tppt-shou-han-1-digit-spst-24v-black-25ma-3000-times-flat-toggle-slotted-smd-dip-switches-rohs/
DW01A, 10, $0.65, https://robu.in/product/dw01a-4-3v-lithium-ion-lithium-polymer-battery-protection-ic-6pin-sot-23/
TP4056, 10, $3.2, https://www.amazon.in/TP4056-10Pcs-SOP8-LP4056H-4056/dp/B0G4DXKGXC
MT3608, 10, $2.2, https://robu.in/product/mt3608-xian-aerosemi-tech-boost-type-adjustable-2a-2v24v-sot-23-6-dc-dc-converters-rohs/
74AHCT1G125W5-7, 10, $3.2, https://robu.in/product/74ahc1g125qw5-7-diodes-incorporated-8ma-1-2v5-5v-8ma-1-sot-25-buffers-drivers-receivers-transceivers-rohs/
AP2112K-3.3TRG1, 10, $14.2, https://www.desertcart.in/products/808664101-10pcs-ap2112k-3-3-sot23-5-ap2112k-3-3trg1-3?source=search
DRV8833PWPR, 10, $26, https://www.desertcart.in/products/525842950-reland-sun-10pcs-drv8833pwpr-htssop16-drv8833pwp-htssop-16-drv8833-tssop16?source=search
Pi Zero Case, 1, $3, https://www.amazon.in/REES52-RS1009-01-Raspberry-Zero-Starter/dp/B07L93QMD6
Pi Zero Camera, 1, $3, https://robu.in/product/5mp-raspberry-pi-camera-module-w-hbv-ffc-cable/
Pi Zero 2w, 1, $20, unavailable everywhere rn
Tripod, 1, $2.2, https://www.amazon.in/Kratos-Extendable-Bluetooth-Multifunctional-OnePlus/dp/B0G4MZ85QG
Cable, 1, $2, https://www.amazon.in/Portronics-Charging-Transfer-Aluminium-compatible/dp/B0FVYTSCVY
,,,
Cost for Each Nex bot:, , , 
,,,
3d printed parts, 1, $2.85, https://robu.in/product/3d-printing-service1/
B3U-1000P, 3, $1.2, https://robu.in/product/b3u-1000p-omron-2-5mm-1-6mm-round-button-50ma-vertical-welding-3mm-spst-1-53n-12v-smd2-5x3mm-tactile-switches-rohs/
ESP32-C3-WROOM-02-N4, 1, $2.73, https://robu.in/product/espressif-esp32-c3-wroom-02-n4-module/
STC3100IST, 1, $2.55, https://robu.in/product/stc3100ist-stmicroelectronics-battery-li-ion-supervisor-monitor-ic-i2c-interface-1-cell-2-7-v-to-5-5-v-supply-msop-8/
WLY602030 3.7V 300mAh, 1, $1.83, https://robu.in/product/300mah-pcm-protected-micro-li-po-battery/
N20-3V-100 RPM, 2, $2.52, https://robocraze.com/products/robocraze-dc6v-100rpm-gm12-n20-miniature-gear-motor-with-metal-gear
,,,
Total, 8, $110, -
,,,
Final Total, ~, $297.5
